feedback coefficients,min-entropy,Lyapunov exponent,"number of 
different states"
"00001001100100	",0.445063,0.048482,7095
"01001100001000	",0.673519,0.093802,8518
"01001000100010	",0.586309,0.088039,8493
"00001100100100	",0.426265,0.076355,7500
"00001001110000	",0.53015,0.094912,8155
"00101001001000	",0.577646,0.093348,8497
"01000001100010	",0.603464,0.08617,8446
"01010010000100	",0.474708,0.10649,8153
"01000000101100	",0.491542,0.070741,7846
"00000001010011	",0.589251,0.100508,8387
"01000100010010	",0.545401,0.088459,8598
"00000000110110	",0.532498,0.088813,8286
"00110100100000	",0.644621,0.100946,8564
"00010000010101	",0.520149,0.08743,8379
"01100000100100	",0.449588,0.07215,7796
"00100101000010	",0.620291,0.06966,8504
"00110000011000	",0.607709,0.071467,8480
"00000001011100	",0.405956,0.079453,6446
"01000010010010	",0.626131,0.095792,8402
"00000111001000	",0.532346,0.107698,8361
"00000111000010	",0.547992,0.090936,8544
"00101110000000	",0.600598,0.113785,8316
"00001010010100	",0.432474,0.053167,7482
"00010110010000	",0.603735,0.109835,8399
"00011100000001	",0.574139,0.097854,8577
"01001000010100	",0.415246,0.072298,8047
"00010001101000	",0.583857,0.094755,8447
"01000011010000	",0.525777,0.087157,8372
"00110010100000	",0.580825,0.078294,8562
"00111000001000	",0.536192,0.099548,8481
"01010000100010	",0.583752,0.060537,8554
"00000000110011	",0.623632,0.095563,8410
"00100000100101	",0.564083,0.064513,8250
"00110000100001	",0.517636,0.059798,8521
"00010010010100	",0.45164,0.08847,7803
"00110001100000	",0.569841,0.076656,8528
"00010000010011	",0.559177,0.114558,8457
"00101000011000	",0.510716,0.091526,8423
"00001010000110	",0.648872,0.071241,8375
"01100010000100	",0.471061,0.09277,8019
"00000110101000	",0.633038,0.098399,8292
"00110000010100	",0.421372,0.090756,8107
"01010000110000	",0.571523,0.064411,8440
"00000001010101	",0.661927,0.083812,8245
"00100000001110	",0.618478,0.082422,8138
"00010100000110	",0.502106,0.079597,8289
"00100000110010	",0.683147,0.094456,8277
"00100000100110	",0.515435,0.09423,8300
"01001000001100	",0.431159,0.084509,7969
"00100010000101	",0.628239,0.075213,8349
"00100000110001	",0.571357,0.096667,8309
"00100011000100	",0.559131,0.079546,8105
"01000010100100	",0.408348,0.061354,7835
